Date,Amazon,Google,Facebook
5/1/18,927.8,901.94,151.74
5/2/18,946.645,909.62,153.34
5/3/18,946,914.86,153.6
5/4/18,944.75,926.07,150.17
5/7/18,940.52,933.54,151.45
5/8/18,940.95,926.12,150.71
5/9/18,952.8,936.95,151.49
5/10/18,953.5,931.98,150.23
5/11/18,945.11,925.32,150.31
5/14/18,954.5,931.53,150.4
5/15/18,958.73,932.95,150.17
5/16/18,961,940,150.11
5/17/18,954.7,935.67,148
5/18/18,944.8,921,144.72
5/21/18,962.84,931.47,148.445
5/22/18,964,935,148.08
5/23/18,975.02,947.92,148.52
5/24/18,976,952.98,148.51
5/25/18,984.85,957.33,150.3
5/29/18,995,969.7,152.23
5/30/18,996.51,970.31,151.97
5/31/18,1000,975.02,152.7
